DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3152052,12/10/2022 11:58:00,GOOD,0-3152052,43.08428,5.96721
0-3152052,12/10/2022 11:53:00,GOOD,0-3152052,43.08621,5.96815
0-3152052,12/10/2022 11:48:00,GOOD,0-3152052,43.08921,5.97023
0-3152052,12/10/2022 11:43:00,GOOD,0-3152052,43.08892,5.97103
0-3152052,12/10/2022 11:38:00,GOOD,0-3152052,43.08864,5.97186
0-3152052,12/10/2022 11:33:00,GOOD,0-3152052,43.08831,5.9727
0-3152052,12/10/2022 11:28:00,GOOD,0-3152052,43.08804,5.97345
0-3152052,12/10/2022 11:23:00,GOOD,0-3152052,43.08766,5.97431
0-3152052,12/10/2022 11:18:00,GOOD,0-3152052,43.08735,5.97515
0-3152052,12/10/2022 11:13:00,GOOD,0-3152052,43.08709,5.97584
0-3152052,12/10/2022 11:08:00,GOOD,0-3152052,43.0866,5.97676
0-3152052,12/10/2022 11:03:00,GOOD,0-3152052,43.08635,5.97753
0-3152052,12/10/2022 10:58:00,GOOD,0-3152052,43.08585,5.97858
0-3152052,12/10/2022 10:53:00,GOOD,0-3152052,43.08558,5.97937
0-3152052,12/10/2022 10:48:00,GOOD,0-3152052,43.08513,5.98027
0-3152052,12/10/2022 10:43:00,GOOD,0-3152052,43.08469,5.98109
0-3152052,12/10/2022 10:38:00,GOOD,0-3152052,43.0843,5.98186
0-3152052,12/10/2022 10:33:00,GOOD,0-3152052,43.08396,5.98255
0-3152052,12/10/2022 10:28:00,GOOD,0-3152052,43.08357,5.98339
0-3152052,12/10/2022 10:27:00,GOOD,0-3152052,43.0835,5.98358
0-3152052,12/10/2022 10:18:00,GOOD,0-3152052,43.08281,5.9848
0-3152052,12/10/2022 10:14:00,GOOD,0-3152052,43.08245,5.98547
0-3152052,12/10/2022 10:08:00,GOOD,0-3152052,43.08224,5.98603
0-3152052,12/10/2022 10:03:00,GOOD,0-3152052,43.08193,5.98673
0-3152052,12/10/2022 9:58:00,GOOD,0-3152052,43.08161,5.98736
0-3152052,12/10/2022 9:53:00,GOOD,0-3152052,43.08138,5.98798
0-3152052,12/10/2022 9:48:00,GOOD,0-3152052,43.08105,5.98862
0-3152052,12/10/2022 9:43:00,GOOD,0-3152052,43.08076,5.98916
0-3152052,12/10/2022 9:38:00,GOOD,0-3152052,43.08044,5.98976
0-3152052,12/10/2022 9:33:00,GOOD,0-3152052,43.08019,5.9904
0-3152052,12/10/2022 9:28:00,GOOD,0-3152052,43.07999,5.99111
0-3152052,12/10/2022 9:23:00,GOOD,0-3152052,43.0797,5.99156
0-3152052,12/10/2022 9:18:00,GOOD,0-3152052,43.07973,5.99227
0-3152052,12/10/2022 9:13:00,GOOD,0-3152052,43.07959,5.99289
0-3152052,12/10/2022 9:08:00,GOOD,0-3152052,43.07944,5.99358
0-3152052,12/10/2022 9:03:00,GOOD,0-3152052,43.0794,5.99416
0-3152052,12/10/2022 8:58:00,GOOD,0-3152052,43.07937,5.99474
0-3152052,12/10/2022 8:53:00,GOOD,0-3152052,43.07933,5.9954
0-3152052,12/10/2022 8:48:00,GOOD,0-3152052,43.07935,5.99602
0-3152052,12/10/2022 8:43:00,GOOD,0-3152052,43.07935,5.99662
0-3152052,12/10/2022 8:38:00,GOOD,0-3152052,43.07935,5.99725
0-3152052,12/10/2022 8:33:00,GOOD,0-3152052,43.0794,5.99778
0-3152052,12/10/2022 8:28:00,GOOD,0-3152052,43.07952,5.99823
0-3152052,12/10/2022 8:23:00,GOOD,0-3152052,43.07967,5.99873
0-3152052,12/10/2022 8:18:00,GOOD,0-3152052,43.07984,5.99933
0-3152052,12/10/2022 8:14:00,GOOD,0-3152052,43.08041,5.99926
0-3152052,12/10/2022 8:09:00,GOOD,0-3152052,43.08041,5.99943
0-3152052,12/10/2022 8:03:00,GOOD,0-3152052,43.0782,5.98768
0-3152052,12/10/2022 7:58:00,GOOD,0-3152052,43.0785,5.98444
0-3152052,12/10/2022 7:53:00,GOOD,0-3152052,43.07704,5.97253
0-3152052,12/10/2022 7:48:00,GOOD,0-3152052,43.0773,5.97296
0-3152052,12/10/2022 7:43:00,GOOD,0-3152052,43.07764,5.97004
0-3152052,12/10/2022 7:38:00,GOOD,0-3152052,43.08277,5.95448
0-3152052,12/10/2022 7:33:00,GOOD,0-3152052,43.08703,5.93878
0-3152052,12/10/2022 7:28:00,GOOD,0-3152052,43.08815,5.92385
0-3152052,12/10/2022 7:23:00,GOOD,0-3152052,43.09793,5.918
0-3152052,12/10/2022 7:18:00,GOOD,0-3152052,43.10398,5.90761
0-3152052,12/10/2022 7:13:00,GOOD,0-3152052,43.10549,5.89412
0-3152052,12/10/2022 7:11:00,GOOD,0-3152052,43.10464,5.88829
