DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3153368,12/10/2022 8:23:00,GOOD,0-3153368,43.07977,5.9986
0-3153368,12/10/2022 8:18:00,GOOD,0-3153368,43.0799,5.99927
0-3153368,12/10/2022 8:13:00,GOOD,0-3153368,43.0802,5.9986
0-3153368,12/10/2022 8:08:00,GOOD,0-3153368,43.08042,5.99922
0-3153368,12/10/2022 8:03:00,GOOD,0-3153368,43.07797,5.98564
0-3153368,12/10/2022 7:58:00,GOOD,0-3153368,43.07825,5.98339
0-3153368,12/10/2022 7:53:00,GOOD,0-3153368,43.07692,5.9724
0-3153368,12/10/2022 7:48:00,GOOD,0-3153368,43.07718,5.97291
0-3153368,12/10/2022 7:38:00,GOOD,0-3153368,43.08315,5.95251
0-3153368,12/10/2022 7:33:00,GOOD,0-3153368,43.08733,5.93654
0-3153368,12/10/2022 7:28:00,GOOD,0-3153368,43.08882,5.92221
0-3153368,12/10/2022 7:23:00,GOOD,0-3153368,43.09873,5.91725
0-3153368,12/10/2022 7:18:00,GOOD,0-3153368,43.10409,5.90583
0-3153368,12/10/2022 7:13:00,GOOD,0-3153368,43.1052,5.89292
0-3153368,12/10/2022 7:08:00,GOOD,0-3153368,43.10501,5.88498
0-4406439,12/10/2022 10:39:00,GOOD,0-4406439,43.07989,5.95983
0-4406439,12/10/2022 10:34:00,GOOD,0-4406439,43.07982,5.96023
0-4406439,12/10/2022 10:29:00,GOOD,0-4406439,43.07972,5.96066
0-4406439,12/10/2022 10:24:00,GOOD,0-4406439,43.07945,5.96111
0-4406439,12/10/2022 10:19:00,GOOD,0-4406439,43.07941,5.96156
0-4406439,12/10/2022 10:14:00,GOOD,0-4406439,43.07924,5.96204
0-4406439,12/10/2022 10:09:00,GOOD,0-4406439,43.079,5.96246
0-4406439,12/10/2022 10:04:00,GOOD,0-4406439,43.07893,5.96296
0-4406439,12/10/2022 9:59:00,GOOD,0-4406439,43.07877,5.96343
0-4406439,12/10/2022 9:54:00,GOOD,0-4406439,43.07862,5.96388
0-4406439,12/10/2022 9:49:00,GOOD,0-4406439,43.07848,5.96433
0-4406439,12/10/2022 9:44:00,GOOD,0-4406439,43.07834,5.96474
0-4406439,12/10/2022 9:39:00,GOOD,0-4406439,43.07822,5.96513
0-4406439,12/10/2022 9:34:00,GOOD,0-4406439,43.07813,5.96549
0-4406439,12/10/2022 9:29:00,GOOD,0-4406439,43.07808,5.96581
0-4406439,12/10/2022 9:24:00,GOOD,0-4406439,43.07804,5.96613
0-4406439,12/10/2022 9:19:00,GOOD,0-4406439,43.078,5.96646
0-4406439,12/10/2022 9:14:00,GOOD,0-4406439,43.07794,5.96684
0-4406439,12/10/2022 9:09:00,GOOD,0-4406439,43.07791,5.96721
0-4406439,12/10/2022 9:04:00,GOOD,0-4406439,43.07788,5.96766
0-4406439,12/10/2022 8:59:00,GOOD,0-4406439,43.07783,5.96809
0-4406439,12/10/2022 8:54:00,GOOD,0-4406439,43.07777,5.96852
0-4406439,12/10/2022 8:49:00,GOOD,0-4406439,43.07768,5.9689
0-4406439,12/10/2022 8:44:00,GOOD,0-4406439,43.07762,5.96931
0-4406439,12/10/2022 8:39:00,GOOD,0-4406439,43.07753,5.96972
0-4406439,12/10/2022 8:34:00,GOOD,0-4406439,43.07746,5.9701
0-4406439,12/10/2022 8:29:00,GOOD,0-4406439,43.07739,5.97047
0-4406439,12/10/2022 8:24:00,GOOD,0-4406439,43.07735,5.97073
0-4406439,12/10/2022 8:19:00,GOOD,0-4406439,43.0773,5.97118
0-4406439,12/10/2022 8:14:00,GOOD,0-4406439,43.07721,5.97152
0-4406439,12/10/2022 8:09:00,GOOD,0-4406439,43.07719,5.97182
0-4406439,12/10/2022 8:04:00,GOOD,0-4406439,43.07684,5.97225
0-4406439,12/10/2022 7:59:00,GOOD,0-4406439,43.07694,5.9724
0-4406439,12/10/2022 7:54:00,GOOD,0-4406439,43.07697,5.97261
0-4406439,12/10/2022 7:49:00,GOOD,0-4406439,43.07719,5.97281
0-4406439,12/10/2022 7:44:00,GOOD,0-4406439,43.07735,5.97116
0-4406439,12/10/2022 7:39:00,GOOD,0-4406439,43.08232,5.95538
0-4406439,12/10/2022 7:34:00,GOOD,0-4406439,43.08664,5.93948
0-4406439,12/10/2022 7:29:00,GOOD,0-4406439,43.08781,5.92457
0-4406439,12/10/2022 7:24:00,GOOD,0-4406439,43.09728,5.91841
0-4406439,12/10/2022 7:19:00,GOOD,0-4406439,43.1038,5.90828
0-4406439,12/10/2022 7:14:00,GOOD,0-4406439,43.10555,5.89472
0-4406439,12/10/2022 7:09:00,GOOD,0-4406439,43.10432,5.88638

